region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
National,2020-07-07,nowcast,1.1,1,1.2,1.1,1.2,0.03
National,2020-07-08,nowcast,1.1,1,1.2,1.1,1.2,0.04
National,2020-07-09,nowcast,1.1,1,1.2,1.1,1.1,0.06
National,2020-07-10,forecast,1.1,1,1.3,1.1,1.2,0.13
National,2020-07-11,forecast,1.1,0.9,1.3,1,1.2,0.16
National,2020-07-12,forecast,1.1,0.9,1.3,1,1.2,0.2
National,2020-07-13,forecast,1.1,0.9,1.3,1,1.2,0.24
National,2020-07-14,forecast,1.1,0.8,1.3,1,1.2,0.25
National,2020-07-15,forecast,1.1,0.8,1.4,1,1.2,0.27
National,2020-07-16,forecast,1.1,0.8,1.4,1,1.2,0.29
National,2020-07-17,forecast,1.1,0.8,1.4,1,1.2,0.29
National,2020-07-18,forecast,1.1,0.8,1.4,1,1.2,0.31
National,2020-07-19,forecast,1.1,0.8,1.4,0.9,1.2,0.33
National,2020-07-20,forecast,1.1,0.7,1.4,0.9,1.2,0.34
National,2020-07-21,forecast,1.1,0.7,1.4,0.9,1.2,0.36
National,2020-07-22,forecast,1.1,0.7,1.5,0.9,1.2,0.34
National,2020-07-23,forecast,1.1,0.7,1.5,0.9,1.2,0.36
