region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Analamanga,2020-05-28,nowcast,1.2,0.8,1.6,1,1.4,0.24
Analamanga,2020-05-29,nowcast,1.2,0.8,1.6,1,1.3,0.24
Analamanga,2020-05-30,nowcast,1.1,0.7,1.5,1,1.3,0.26
Analamanga,2020-05-31,nowcast,1.2,0.8,1.6,1,1.3,0.24
Analamanga,2020-06-01,nowcast,1.2,0.8,1.6,1,1.3,0.22
Analamanga,2020-06-02,nowcast,1.2,0.8,1.5,1,1.3,0.2
Analamanga,2020-06-03,nowcast,1.2,0.8,1.6,1.1,1.4,0.16
Analamanga,2020-06-04,nowcast,1.2,0.8,1.6,1.1,1.4,0.13
Analamanga,2020-06-05,nowcast,1.3,0.9,1.7,1.1,1.4,0.07
Analamanga,2020-06-06,nowcast,1.3,1,1.8,1.2,1.5,0.05
Analamanga,2020-06-07,nowcast,1.4,1,1.8,1.2,1.5,0.03
Analamanga,2020-06-08,nowcast,1.4,1.1,1.8,1.3,1.5,0.02
Analamanga,2020-06-09,nowcast,1.4,1.1,1.8,1.3,1.5,0.01
Analamanga,2020-06-10,nowcast,1.5,1.2,1.8,1.3,1.6,0.01
Analamanga,2020-06-11,nowcast,1.5,1.2,1.8,1.4,1.6,0.01
Analamanga,2020-06-12,nowcast,1.5,1.2,1.8,1.3,1.5,0.01
Analamanga,2020-06-13,nowcast,1.5,1.2,1.8,1.4,1.6,0.01
Analamanga,2020-06-14,nowcast,1.5,1.1,1.8,1.3,1.5,0
Analamanga,2020-06-15,nowcast,1.5,1.2,1.7,1.3,1.6,0
Analamanga,2020-06-16,nowcast,1.4,1.2,1.7,1.3,1.5,0
Analamanga,2020-06-17,nowcast,1.4,1.1,1.7,1.3,1.5,0
Analamanga,2020-06-18,nowcast,1.4,1.2,1.7,1.3,1.5,0
Analamanga,2020-06-19,nowcast,1.4,1.2,1.7,1.3,1.5,0
Analamanga,2020-06-20,nowcast,1.4,1.2,1.6,1.3,1.5,0
Analamanga,2020-06-21,nowcast,1.4,1.2,1.6,1.3,1.5,0
Analamanga,2020-06-22,nowcast,1.4,1.2,1.6,1.3,1.5,0
Analamanga,2020-06-23,nowcast,1.4,1.2,1.6,1.3,1.5,0
Analamanga,2020-06-24,nowcast,1.4,1.3,1.7,1.3,1.5,0
Analamanga,2020-06-25,nowcast,1.4,1.3,1.7,1.3,1.5,0
